product_links,product_names,product_category,brand,ingredient,size,price,claims,image_path
https://www.beautypedia.com/products/perfectly-defined-long-wear-brow-pencil/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Perfectly Defined Long-Wear Brow Pencil,Eyebrow,Bobbi Brown,"Behenic Acid,  Rhus Succedanea (Japan) Fruit Wax,  Triethylhexanoin,  Sucrose Tetrastearate Triacetate,  Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate,  Hydrogenated Castor Oil,  Sorbitan Sesquiisostearate,  Tocopherol,  Talc,  Alumina. May contain: Iron Oxides,  Mica,  Titanium Dioxide.",0.01 fl. oz.,42.00,"An automatic brow pencil with a unique slant tip for ultra-precise definition, plus 16-hour wear thats sweat- and humidity-resistant and waterproof. Formulated with a combination of waxes and emollients, this long-wearing formula wont smudge or fade, so brows look fresh and polished.",images/makeup/Perfectly-Defined-Long-Wear-Brow-Pencil_Bobbi-Brown.jpg
https://www.beautypedia.com/products/pro-brow-pencil/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Pro Brow Pencil,Eyebrow,Lorac,,,19.00,,images/makeup/Pro-Brow-Pencil_Lorac.jpg
https://www.beautypedia.com/products/gimme-brow/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Gimme Brow,Eyebrow,Benefit,,,24.00,,images/makeup/Gimme-Brow_Benefit.jpg
https://www.beautypedia.com/products/brow-marker-long-lasting-brow-color/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Brow Marker Long-Lasting Brow Color,Eyebrow,Laura Geller,,,24.00,,images/makeup/Brow-Marker-Long-Lasting-Brow-Color_Laura-Geller.jpg
https://www.beautypedia.com/products/brow-keeper/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Brow Keeper,Eyebrow,Clinique,,,15.00,,images/makeup/Brow-Keeper_Clinique.jpg
https://www.beautypedia.com/products/define-a-brow-eyebrow-pencil/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Define-A-Brow Eyebrow Pencil,Eyebrow,Maybelline New York,,,5.89,,images/makeup/Define-A-Brow-Eyebrow-Pencil_Maybelline-New-York.jpg
https://www.beautypedia.com/products/brow-fantasy-pencil-gel/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Brow Fantasy Pencil & Gel,Eyebrow,Revlon,,,7.49,,images/makeup/Brow-Fantasy-Pencil-&-Gel_Revlon.jpg
https://www.beautypedia.com/products/eyebrow-show-powdery-eyebrow-pencil/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Eyebrow Show Powdery Eyebrow Pencil,Eyebrow,Givenchy Makeup,,,23.00,,images/makeup/Eyebrow-Show-Powdery-Eyebrow-Pencil_Givenchy-Makeup.jpg
https://www.beautypedia.com/products/brow-definer-2/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Brow Definer,Eyebrow,Sonia Kashuk,,,5.79,,images/makeup/Brow-Definer_Sonia-Kashuk.jpg
https://www.beautypedia.com/products/ultimate-brow-kit/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Ultimate Brow Kit,Eyebrow,Wet 'n Wild,,,3.99,,images/makeup/Ultimate-Brow-Kit_Wet-'n-Wild.jpg
https://www.beautypedia.com/products/brow-powder-duo/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Brow Powder Duo,Eyebrow,Laura Mercier,,,24.00,,images/makeup/Brow-Powder-Duo_Laura-Mercier.jpg
https://www.beautypedia.com/products/bulletproof-brows-eyebrow-definer/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Bulletproof Brows Eyebrow Definer,Eyebrow,Too Faced,,,30.00,,images/makeup/Bulletproof-Brows-Eyebrow-Definer_Too-Faced.jpg
https://www.beautypedia.com/products/eye-brow-gel/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Eye Brow Gel,Eyebrow,Laura Mercier,,,20.00,,images/makeup/Eye-Brow-Gel_Laura-Mercier.jpg
